name,description,price,sku,image_url,category,stock_quantity,low_stock_threshold
Paracetamol 500mg,Obat penurun demam dan pereda nyeri.,198100.0,IDN-232963,https://example.com/images/paracetamol_500mg.jpg,Obat,60,7
Bodrex Extra,Obat sakit kepala dengan kandungan paracetamol dan kafein.,198200.0,IDN-920048,https://example.com/images/bodrex_extra.jpg,Obat,84,20
Promag,Obat maag dan gangguan lambung.,228200.0,IDN-375123,https://example.com/images/promag.jpg,Obat,144,13
Antangin JRG,Obat herbal untuk masuk angin.,31700.0,IDN-358692,https://example.com/images/antangin_jrg.jpg,Obat,59,13
OBH Combi Batuk,Obat batuk dengan rasa madu.,78200.0,IDN-920110,https://example.com/images/obh_combi_batuk.jpg,Obat,71,13
Woods Peppermint,Obat batuk berdahak dengan rasa peppermint.,188200.0,IDN-549060,https://example.com/images/woods_peppermint.jpg,Obat,46,6
Betadine Antiseptik,Antiseptik luka untuk mencegah infeksi.,38300.0,IDN-413057,https://example.com/images/betadine_antiseptik.jpg,Obat,105,11
Neurobion,Vitamin B kompleks untuk saraf.,152400.0,IDN-746441,https://example.com/images/neurobion.jpg,Obat,92,12
Sanmol Syrup,Obat penurun panas untuk anak-anak.,154400.0,IDN-530881,https://example.com/images/sanmol_syrup.jpg,Obat,185,15
Panadol Extra,Obat pereda nyeri dan demam.,178600.0,IDN-795889,https://example.com/images/panadol_extra.jpg,Obat,144,17
Enervon-C,Vitamin C dan B kompleks untuk daya tahan tubuh.,235900.0,IDN-449127,https://example.com/images/enervon-c.jpg,Vitamin,163,11
Youvit Multivitamin,Gummy vitamin lengkap untuk dewasa dan anak-anak.,210800.0,IDN-646500,https://example.com/images/youvit_multivitamin.jpg,Vitamin,190,11
Blackmores Vitamin C 500,Vitamin C untuk membantu sistem imun.,82400.0,IDN-802426,https://example.com/images/blackmores_vitamin_c_500.jpg,Vitamin,91,20
Hemaviton Action,Suplemen untuk menambah energi dan stamina.,61500.0,IDN-846438,https://example.com/images/hemaviton_action.jpg,Vitamin,8,9
